,price,market_cap,volume
2024-07-02,62826.911179904506,1238799172479.871,26090135677.990852
2024-07-03,62069.99123220051,1222901857941.0586,19352215291.544132
2024-07-04,60182.99341375096,1186937170314.9272,30392404224.147316
2024-07-05,56964.89845388565,1122328815593.5117,43785056555.930504
2024-07-06,56629.385370653035,1118490666778.4585,60093024057.19495
2024-07-07,58336.39320841542,1147176330416.144,19881710912.92408
2024-07-08,55665.50758753673,1100452083927.7026,20693720369.153324
2024-07-09,56656.077519140876,1118360891710.498,37441905810.69542
2024-07-10,58024.67810475922,1144192069084.4565,28449155212.757774
2024-07-11,57602.44949167954,1139350681822.5857,26116004979.33151
2024-07-12,57338.42217109978,1130780140890.3772,29445698668.41561
2024-07-13,57876.37384720089,1141567375406.1943,25477303555.308113
2024-07-14,59243.90724033287,1168371787725.7102,14012758672.969776
2024-07-15,60881.48885782499,1198219055697.0378,22630437159.2644
2024-07-16,64894.80923587094,1277806993830.5176,40094042069.0735
2024-07-17,65178.21786410649,1284653025077.5898,43816446896.52314
2024-07-18,64101.49229397971,1266016458007.3477,33430369739.12787
2024-07-19,63975.96715356269,1262011182714.7068,24035686607.754494
2024-07-20,66659.36403104197,1316054831107.557,37361157041.72066
2024-07-21,67104.22118882959,1324535655330.9402,18881443362.220337
2024-07-22,68167.78452534138,1344451896690.8882,20685853575.840492
