currency,current_price,market_cap,total_volume
aed,154703.22336629944,3034791613156.66,39279477971.01453
ars,34639551.38044609,679519260978678.5,8795055886795.805
aud,64060.26315623917,1256661271387.0159,16265037280.477446
bch,172.81338949225253,3389633591.331948,43877687.72978255
bdt,4626973.448035191,90766694506086.66,1174798415119.2468
bhd,15875.512989588398,311427729991.6815,4030826567.049628
bmd,42119.61049464309,826254540126.2368,10694258830.371908
bnb,137.75841471659706,2701589416.0570674,34977154.95798265
brl,207022.09754222078,4061123690174.4673,52563351577.1611
btc,1.0,19610706.0,253935.61838861127
cad,56699.313667363785,1112262549190.9343,14396076524.505142
chf,36372.85295836453,713521196925.9529,9235144849.814808
clp,38853234.70078354,762178500539447.9,9864919058076.574
cny,298918.663719433,5863845845821.893,75896085493.26651
czk,960554.5651745333,18843065289394.895,243886850330.16348
dkk,289264.84899406,5674468305224.961,73444961369.34506
dot,6316.690660212092,123866571920.34567,1603821214.8303804
eos,59455.795960177056,1167583690824.2979,15095953250.678364
eth,18.574276123334638,364355461.49578726,4716048.275778832
eur,38771.39629759249,760573087967.9829,9844140113.16917
gbp,33141.56280004695,650133427371.0897,8414713395.1251545
gel,112880.55612564391,2214362167538.313,28660613665.396824
hkd,329284.7969055451,6459534056525.896,83606111397.02292
huf,15030383.005013403,294848932644048.6,3816246263618.2197
idr,664447385.4556187,13034371934126424,168704606613824.53
ils,155272.6805001871,3045962574539.18,39424064350.40118
inr,3500885.1492105974,68676376989850.49,888882197185.2035
jpy,6241494.481148693,122438529028606.42,1584728744778.663
krw,56330135.281378254,1105020428146727.6,14302341345856.936
kwd,12956.834580362143,254172421633.63312,3289767901.3990154
lkr,13394382.739571262,262755743008754.2,3400862311114.1816
ltc,618.5989295206459,12134883356.399515,157063585.98273727
mmk,88463236.8397525,1735371011619501.5,22461004283435.297
mxn,722789.3639322734,14178858410382.293,183517759232.7141
myr,199120.45861342573,3906118338446.778,50557108620.58333
ngn,37961699.14050879,744689371468448.5,9638556280118.99
nok,439682.40199253045,8625188518923.776,111636298504.36949
nzd,69230.15050718309,1358078232405.732,17577682692.09377
php,2372218.6669080164,46535483606958.93,602311372973.8944
pkr,11785370.993630089,231191983406336.72,2992330801204.042
pln,169466.1468446722,3324393829470.9004,43027815691.059975
rub,3780934.522265699,74170066585477.72,959987329582.274
sar,157947.36000581773,3098431390346.2764,40103171174.6474
sek,439953.0204899584,8630497204344.099,111705009117.3546
sgd,56575.06081640464,1109825098297.562,14364528460.955559
thb,1499899.2944096192,29428732743312.39,380827626028.23035
try,1277866.8627969727,25067736492889.957,324453118654.65234
twd,1317080.220167486,25836979469747.484,334409473625.7287
uah,1591875.7614879343,31227605379057.32,404180646953.3356
usd,42119.61049464309,826254540126.2368,10694258830.371908
vef,4217.436598828616,82732867102.84018,1070816136.68514
vnd,1036353016.2206943,20329992959806100,263132238521301.06
xag,1847.108344278815,36234467452.15119,468984743.4360691
xau,20.866055039046234,409326499.1785382,5297935.824566255
xdr,31646.35874709759,620802217451.1488,8035077900.905776
xlm,362266.7829732046,7106470999971.057,91980307919.85475
xrp,79445.56843702933,1558484574022.0254,20171399065.992622
yfi,5.790557160395778,113595410.17376043,1470234.7984251124
zar,791358.4050331323,15523967751526.197,200927584838.20633
bits,1000131.8938409009,19612141776557.8,253935618388.61127
link,2937.8457903130866,57582652603.11328,745925304.5400912
sats,100013189.3840901,1961214177655780,25393561838861.13
